City,Longitude,Latitude,20140904,Language20140904,20140905,Language20140905,20140906,Language20140906,20140907,Language20140907,20140908,Language20140908,20140909,Language20140909,20140910,Language20140910,20140911,Language20140911,20140912,Language20140912,20140913,Language20140913,20140914,Language20140914,20140915,Language20140915,20140916,Language20140916,20140917,Language20140917,20140918,Language20140918,20140919,Language20140919,20140920,Language20140920,20140921,Language20140921,20140922,Language20140922,20140923,Language20140923,20140924,Language20140924,20140925,Language20140925,20140926,Language20140926,20140927,Language20140927,20140928,Language20140928,20140929,Language20140929,20140930,Language20140930,20141001,Language20141001,20141002,Language20141002,20141003,Language20141003,20141004,Language20141004,20141005,Language20141005,20141006,Language20141006,20141007,Language20141007,20141008,Language20141008,20141009,Language20141009
Abbotsford,-122.328,49.0546,1,en,2,en,6,en,8,en,14,en,16,en,18,en,18,en,19,en,19,en,19,en,21,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,23,en,23,en,23,en,24,en,24,en,24,en,24,en,25,en,25,en,25,en,33,en,35,en,37,en,37,en,38,en,39,en
Abcoude,4.9705,52.2721,24,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en
Aberdeen,-123.8157,46.9754,0,en,34,en,108,en,150,en,152,en,157,en,159,en,160,en,161,en,162,en,163,en,163,en,163,en,163,en,163,en,163,en,163,en,163,en,163,en,164,en,164,en,164,en,164,en,164,en,164,en,165,en,166,en,167,en,172,en,172,en,177,en,220,en,230,en,234,en,234,en,234,en
Aberdeen Proving Ground,-76.1408,39.4734,3,en,5,en,8,en,9,en,25,en,26,en,29,en,29,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,31,en,31,en,31,en,32,en,32,en,87,en,88,en,88,en,88,en,88,en,88,en
Aberdeen Township,-74.2221,40.4171,13,en,14,en,14,en,14,en,15,en,15,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,18,en,18,en,24,en,26,en,27,en,27,en,27,en,27,en
Abergavenny,-3.0194,51.8254,2,en,15,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en
Aberystwyth,-4.0829,52.4153,1,en,332,en,335,en,335,en,337,en,338,en,338,en,339,en,339,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,340,en,341,en,341,en,341,en,341,en,341,en,341,en
Abha,42.5053,18.2169,2,en,5,en,7,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en
Abilene,-97.2139,38.9172,4,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,16,en,16,en,18,en,18,en,19,en,19,en,19,en,19,en,20,en,20,en,20,en,20,en,20,en,20,en,20,en,22,en,22,en,22,en,23,en,25,en,25,en,26,en,31,en,34,en,34,en,34,en,35,en,35,en
Abingdon,-1.288,51.6708,5,en,9,en,18,en,23,en,23,en,29,en,29,en,30,en,30,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,34,en,34,en,34,en,34,en,34,en,35,en,35,en,35,en,35,en,36,en,36,en,37,en,37,en
Abington,-70.9453,42.1048,0,en,2,en,4,en,12,en,14,en,14,en,15,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,16,en,17,en,17,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,19,en,22,en,23,en,23,en,23,en,23,en,23,en
Abrams,-88.0599,44.7796,0,en,0,en,1,en,2,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,4,en,4,en,4,en,12,en,13,en,13,en,13,en,13,en,13,en
Absam,11.5122,47.2971,0,en,18,en,19,en,19,en,20,en,20,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,22,en,27,en,27,en,27,en,27,en,27,en,27,en
Abu Dhabi,54.3667,24.4667,3,en,3,en,6,en,7,en,7,en,7,en,7,en,9,en,9,en,9,en,11,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,17,en,18,en,18,en,18,en,18,en,18,en,18,en
Abuja,7.4833,9.0667,20,en,23,en,23,en,23,en,23,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,26,en,27,en,27,en,27,en,35,en,35,en,35,en,35,en,36,en,36,en
Acapulco,-99.8825,16.8636,3,en,51,en,51,en,56,en,59,en,59,en,64,en,64,en,64,en,64,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,70,en,70,en,70,en,70,en,70,en
Acarigua,-69.2019,9.5597,7,en,20,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,32,en,33,en,33,en,33,en,33,en,33,en
Accra,-0.2,5.55,2,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,29,en,29,en,29,en,29,en,29,en,29,en
Accrington,-2.3722,53.7536,6,en,7,en,7,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en
Achim,9.051,53.0092,0,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en
Ackerman,-89.1728,33.3101,0,en,1,en,1,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en
Acle,1.5437,52.634,10,en,11,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en
Acme,-79.4288,40.1266,1,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,65,en,67,en,67,en,67,en,67,en,67,en,67,en
Acton,-71.4328,42.4851,2,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en
Acworth,-84.6769,34.0659,0,en,0,en,0,en,0,en,0,en,1,en,1,en,2,en,2,en,2,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,10,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en
Ada,-83.8227,40.7695,0,en,1,en,3,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,10,en,10,en,10,en,10,en
Ada Township,-85.4955,42.9607,0,en,0,en,4,en,7,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,12,en,12,en,12,en,12,en,12,en
Adachi,139.8045,35.7757,0,en,20,en,28,en,28,en,28,en,28,en,29,en,29,en,29,en,29,en,29,en,29,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,30,en,37,en,39,en,39,en,39,en,39,en,39,en
Adair,-94.6434,41.5004,0,en,1,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,3,en,3,en,8,en,8,en,8,en,8,en,8,en,8,en
Adairsville,-84.9341,34.3687,0,en,0,en,1,en,1,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en
Adams County,0,0,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en
Adamstown,-76.0563,40.2412,9,en,11,en,12,en,12,en,12,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en
Adamsville,-86.9561,33.6009,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en
Adana,35.3213,37,6,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en,27,en
Addis,-91.2654,30.3538,6,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,33,en,34,en,35,en,35,en,35,en,35,en,35,en,35,en,35,en
Addis Ababa,38.7578,8.9806,0,en,10,en,10,en,12,en,12,en,12,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,16,en,16,en,16,en,16,en
Addison,-87.989,41.9317,0,en,6,en,6,en,6,en,6,en,6,en,6,en,7,en,7,en,7,en,7,en,7,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en
Addison County,0,0,1,en,3,en,6,en,6,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en
Addlestone,-0.4886,51.3698,0,en,0,en,0,en,1,en,2,en,2,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,7,en,7,en,7,en,9,en,9,en
Adeje,-16.7338,28.1221,0,en,0,en,0,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,1,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en
Adel,-94.0175,41.6144,1,en,1,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,3,en,4,en,6,en,6,en,6,en,6,en,6,en
Adelaide,138.6,-34.9286,0,en,2,en,5,en,5,en,5,en,5,en,5,en,15,en,15,en,16,en,17,en,20,en,21,en,22,en,23,en,23,en,23,en,26,en,26,en,27,en,30,en,32,en,32,en,32,en,32,en,32,en,32,en,45,en,45,en,48,en,49,en,50,en,54,en,57,en,61,en,61,en
Adelphi,-76.9719,39.0032,0,en,0,en,5,en,8,en,8,en,22,en,22,en,22,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,25,en,25,en,25,en,25,en,25,en,51,en,51,en,51,en,51,en,51,en,51,en,51,en,51,en
Adliswil,8.5245,47.3117,0,en,1,en,1,en,1,en,16,en,16,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,28,en,36,en,45,en,45,en,45,en,45,en,45,en
Adrian,-84.0372,41.8975,0,en,4,en,9,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,23,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,24,en,25,en,25,en,25,en,25,en,25,en,25,en,26,en,28,en,28,en,28,en,28,en,28,en
Adrogue,-58.3889,-34.8012,6,en,6,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en
Advance,-80.4097,35.9412,4,en,4,en,5,en,5,en,5,en,5,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,6,en,7,en,7,en,7,en,17,en,17,en,17,en,17,en,17,en,17,en
Affton,-90.3332,38.5506,2,en,13,en,68,en,69,en,69,en,69,en,69,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,70,en,71,en,71,en,71,en,73,en,73,en,73,en,73,en,74,en,74,en
Afghanistan,0,0,1,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en
Afragola,14.3093,40.923,1,en,1,en,1,en,1,en,3,en,3,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,9,en,11,en,11,en,11,en,11,en,11,en
Afula,35.2879,32.6105,0,en,11,en,13,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,18,en,19,en,19,en,19,en,19,en,20,en,20,en,20,en,20,en,20,en,20,en
Afyonkarahisar,30.5403,38.7542,140,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en,146,en
Agadir,-9.5981,30.4278,3,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,15,en,15,en,15,en,15,en,16,en,16,en
Agawam,-72.6148,42.0695,0,en,409,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en,428,en
Agen,0.6164,44.2031,9,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en
Agoura Hills,-118.7617,34.1533,0,en,2,en,2,en,2,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,6,en,6,en,6,en,6,en,6,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,8,en,8,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en
Aguascalientes,-102.2916,21.8853,0,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,7,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en,9,en
Ahaus,7.0101,52.0805,42,en,42,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,43,en,44,en,47,en,47,en,47,en,47,en,47,en
Ahmedabad,72.5714,23.0225,1,en,1,en,2,en,7,en,8,en,8,en,8,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,11,en,14,en,14,en,14,en,16,en,16,en,16,en,16,en,16,en,16,en
Ahrensburg,10.2379,53.6764,0,en,113,en,117,en,117,en,118,en,120,en,120,en,120,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,122,en,123,en,123,en,123,en,127,en,127,en,127,en,127,en,127,en,127,en,127,en,127,en
Aibonito,-66.266,18.14,0,en,0,en,0,en,0,en,0,en,0,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,2,en,3,en,3,en,3,en,3,en,3,en
Aichach,11.136,48.4577,0,en,1,en,6,en,9,en,9,en,9,en,9,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en,10,en
Aiea,-157.9255,21.3863,0,en,2,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,5,en,5,en,6,en,6,en,6,en,6,en
Aiken,-81.7196,33.5604,1,en,1,en,1,en,1,en,1,en,3,en,3,en,3,en,3,en,5,en,6,en,7,en,7,en,7,en,7,en,7,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,8,en,9,en,9,en,10,en,10,en,10,en,10,en,12,en,12,en,14,en,14,en,14,en,14,en
Airdrie,-114.0144,51.2917,0,en,3,en,10,en,10,en,10,en,12,en,12,en,13,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en
Airmont,-74.1163,41.1009,4,en,15,en,15,en,15,en,19,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,23,en,24,en,24,en,24,en,24,en,24,en
Aix-en-Provence,5.4474,43.5297,4,en,5,en,5,en,6,en,10,en,10,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,13,en,15,en,15,en,15,en,15,en,15,en
Ajax,-79.0204,43.8509,0,en,9,en,9,en,12,en,12,en,12,en,12,en,12,en,12,en,12,en,13,en,14,en,14,en,14,en,14,en,14,en,14,en,14,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,15,en,16,en,17,en,20,en,20,en,20,en,21,en,21,en,23,en
Ajman,55.4796,25.3995,2,en,19,en,19,en,19,en,19,en,20,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,21,en,22,en,24,en,24,en,28,en,29,en,29,en,29,en,29,en,29,en
Ajmer,74.6399,26.4499,0,en,1,en,2,en,2,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,9,en,13,en,13,en,13,en,13,en,13,en
Akaa,23.7322,61.1383,0,en,12,en,20,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en,29,en
Akersberga,18.3108,59.4803,0,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,4,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,6,en,6,en,10,en,10,en,10,en,10,en,10,en,10,en
Akita,140.1026,39.72,1,en,1,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,5,en,24,en,24,en,24,en,24,en,24,en,24,en
