City,Country,Longitude,Latitude,Date,Pageviews
London,United Kingdom,-0.1278,51.5074,20150214,2477
Istanbul,Turkey,28.977,41.0053,20150227,2469
New York,United States,-74.0059,40.7128,20150303,2460
Athens,Greece,23.7294,37.9839,20150228,2452
Athens,Greece,23.7294,37.9839,20150227,2434
Riga,Latvia,24.1052,56.9496,20150213,2408
Athens,Greece,23.7294,37.9839,20150225,2383
Melbourne,Australia,144.9633,-37.8141,20150228,2365
La Victoria,Peru,-77.0163,-12.0734,20150220,2357
Chicago,United States,-87.6298,41.8781,20150228,2331
Montreal,Canada,-73.5673,45.5017,20150227,2313
New York,United States,-74.0059,40.7128,20150214,2313
Porto,Portugal,-8.6291,41.1579,20150303,2305
Belfast,United Kingdom,-5.9301,54.5973,20150215,2279
Toronto,Canada,-79.3832,43.6532,20150223,2253
London,United Kingdom,-0.1278,51.5074,20150301,2236
Warsaw,Poland,21.0122,52.2297,20150226,2236
Guadalajara,Mexico,-103.3496,20.6597,20150227,2175
Budapest,Hungary,19.0402,47.4979,20150302,2167
Lisbon,Portugal,-9.1393,38.7223,20150304,2149
Berlin,Germany,13.405,52.52,20150227,2141
Istanbul,Turkey,28.977,41.0053,20150222,2089
Chicago,United States,-87.6298,41.8781,20150223,2089
La Victoria,Peru,-77.0163,-12.0734,20150213,2055
Lisbon,Portugal,-9.1393,38.7223,20150228,2055
Warsaw,Poland,21.0122,52.2297,20150303,2046
Pierre,United States,-100.351,44.3683,20150304,2046
New York,United States,-74.0059,40.7128,20150304,2029
Athens,Greece,23.7294,37.9839,20150220,2020
Istanbul,Turkey,28.977,41.0053,20150215,2020
Madrid,Spain,-3.7038,40.4168,20150305,2011
Athens,Greece,23.7294,37.9839,20150221,2011
Athens,Greece,23.7294,37.9839,20150302,2011
La Victoria,Peru,-77.0163,-12.0734,20150219,2011
Athens,Greece,23.7294,37.9839,20150217,2003
Atlanta,United States,-84.388,33.749,20150227,1985
Athens,Greece,23.7294,37.9839,20150218,1968
Belgrade,Serbia,20.4489,44.7866,20150302,1934
Los Angeles,United States,-118.2437,34.0522,20150228,1925
Athens,Greece,23.7294,37.9839,20150219,1908
Riga,Latvia,24.1052,56.9496,20150227,1908
La Victoria,Peru,-77.0163,-12.0734,20150228,1899
Warsaw,Poland,21.0122,52.2297,20150215,1899
Lisbon,Portugal,-9.1393,38.7223,20150226,1890
Athens,Greece,23.7294,37.9839,20150222,1882
Istanbul,Turkey,28.977,41.0053,20150214,1873
London,United Kingdom,-0.1278,51.5074,20150223,1865
Madrid,Spain,-3.7038,40.4168,20150227,1847
Toronto,Canada,-79.3832,43.6532,20150228,1839
New York,United States,-74.0059,40.7128,20150301,1839
Huancayo,Peru,-75.2103,-12.0686,20150215,1830
Warsaw,Poland,21.0122,52.2297,20150213,1830
Sydney,Australia,151.207,-33.8675,20150225,1813
Melbourne,Australia,144.9633,-37.8141,20150226,1804
Madrid,Spain,-3.7038,40.4168,20150307,1804
Belgrade,Serbia,20.4489,44.7866,20150303,1804
Calgary,Canada,-114.0708,51.0486,20150227,1796
Moscow,Russia,37.6173,55.7558,20150227,1796
La Victoria,Peru,-77.0163,-12.0734,20150222,1787
San Francisco,United States,-122.4194,37.7749,20150225,1787
Warsaw,Poland,21.0122,52.2297,20150228,1744
Seattle,United States,-122.3321,47.6062,20150227,1744
La Victoria,Peru,-77.0163,-12.0734,20150304,1735
Prague,Czech Republic,14.4378,50.0755,20150302,1726
Madrid,Spain,-3.7038,40.4168,20150226,1718
Minneapolis,United States,-93.2674,44.9762,20150227,1709
Riga,Latvia,24.1052,56.9496,20150223,1701
Philadelphia,United States,-75.1652,39.9526,20150227,1701
Vancouver,Canada,-123.1207,49.2827,20150227,1692
Santiago,Chile,-70.642,-33.4691,20150228,1692
Boston,United States,-71.0601,42.3585,20150224,1683
Brisbane,Australia,153.0235,-27.471,20150228,1666
Riga,Latvia,24.1052,56.9496,20150216,1666
Warsaw,Poland,21.0122,52.2297,20150216,1666
Warsaw,Poland,21.0122,52.2297,20150223,1666
Belgrade,Serbia,20.4489,44.7866,20150226,1666
Calgary,Canada,-114.0708,51.0486,20150226,1657
Los Angeles,United States,-118.2437,34.0522,20150226,1657
Athens,Greece,23.7294,37.9839,20150226,1640
Boston,United States,-71.0601,42.3585,20150227,1606
Hong Kong,Hong Kong,114.1588,22.28,20150304,1597
La Victoria,Peru,-77.0163,-12.0734,20150224,1597
Warsaw,Poland,21.0122,52.2297,20150214,1597
Warsaw,Poland,21.0122,52.2297,20150301,1597
Istanbul,Turkey,28.977,41.0053,20150217,1597
Sydney,Australia,151.207,-33.8675,20150224,1588
Edmonton,Canada,-113.4909,53.5444,20150227,1588
Virginia Beach,United States,-75.978,36.8529,20150302,1588
Santiago,Chile,-70.642,-33.4691,20150226,1571
Sao Paulo,Brazil,-46.6333,-23.5505,20150304,1545
Berlin,Germany,13.405,52.52,20150303,1545
La Victoria,Peru,-77.0163,-12.0734,20150223,1545
Sydney,Australia,151.207,-33.8675,20150303,1511
Rio de Janeiro,Brazil,-43.197,-22.9083,20150304,1511
Amsterdam,Netherlands,4.8952,52.3702,20150225,1502
Munich,Germany,11.582,48.1351,20150227,1485
Belgrade,Serbia,20.4489,44.7866,20150304,1485
Riga,Latvia,24.1052,56.9496,20150301,1476
Dallas,United States,-96.801,32.7803,20150227,1468
Warsaw,Poland,21.0122,52.2297,20150302,1450
Kyiv,Ukraine,30.5234,50.4501,20150220,1450
Ottawa,Canada,-75.6972,45.4215,20150227,1442
Madrid,Spain,-3.7038,40.4168,20150308,1442
Warsaw,Poland,21.0122,52.2297,20150225,1442
La Victoria,Peru,-77.0163,-12.0734,20150305,1433
Chicago,United States,-87.6298,41.8781,20150302,1433
Louisville,United States,-85.7585,38.2527,20150227,1433
Lisbon,Portugal,-9.1393,38.7223,20150225,1424
Ankara,Turkey,32.8541,39.9208,20150228,1424
San Francisco,United States,-122.4194,37.7749,20150228,1416
Ankara,Turkey,32.8541,39.9208,20150219,1398
Melbourne,Australia,144.9633,-37.8141,20150301,1390
Santiago,Chile,-70.642,-33.4691,20150304,1390
Athens,Greece,23.7294,37.9839,20150303,1381
Hong Kong,Hong Kong,114.1588,22.28,20150214,1381
Houston,United States,-95.3698,29.7604,20150228,1373
New Delhi,India,77.225,28.6353,20150215,1364
Charlotte,United States,-80.8431,35.2271,20150227,1364
Moscow,Russia,37.6173,55.7558,20150226,1355
Austin,United States,-97.7431,30.2672,20150227,1355
Santiago,Chile,-70.642,-33.4691,20150309,1338
Berlin,Germany,13.405,52.52,20150304,1329
Lisbon,Portugal,-9.1393,38.7223,20150224,1329
Riga,Latvia,24.1052,56.9496,20150228,1321
Sydney,Australia,151.207,-33.8675,20150302,1312
London,United Kingdom,-0.1278,51.5074,20150215,1312
Virginia Beach,United States,-75.978,36.8529,20150304,1312
Santiago de Surco,Peru,-76.9918,-12.1416,20150215,1295
Washington,United States,-77.0369,38.9072,20150223,1295
Brisbane,Australia,153.0235,-27.471,20150226,1286
Melbourne,Australia,144.9633,-37.8141,20150224,1278
Madrid,Spain,-3.7038,40.4168,20150309,1278
Toronto,Canada,-79.3832,43.6532,20150224,1269
Mexico City,Mexico,-99.1332,19.4326,20150304,1269
Arequipa,Peru,-71.5375,-16.409,20150215,1269
Rio de Janeiro,Brazil,-43.197,-22.9083,20150226,1260
Lisbon,Portugal,-9.1393,38.7223,20150301,1260
Los Angeles,United States,-118.2437,34.0522,20150302,1260
Boston,United States,-71.0601,42.3585,20150225,1260
Rio de Janeiro,Brazil,-43.197,-22.9083,20150228,1252
Riga,Latvia,24.1052,56.9496,20150217,1252
Monterrey,Mexico,-100.3161,25.6866,20150226,1243
Warsaw,Poland,21.0122,52.2297,20150217,1243
Warsaw,Poland,21.0122,52.2297,20150224,1243
Belo Horizonte,Brazil,-43.9352,-19.9245,20150227,1226
Dusseldorf,Germany,6.7735,51.2277,20150227,1226
San Francisco,United States,-122.4194,37.7749,20150223,1226
San Francisco,United States,-122.4194,37.7749,20150302,1226
Mexico City,Mexico,-99.1332,19.4326,20150301,1217
San Francisco,United States,-122.4194,37.7749,20150226,1217
Riga,Latvia,24.1052,56.9496,20150302,1209
Mexico City,Mexico,-99.1332,19.4326,20150302,1209
Chicago,United States,-87.6298,41.8781,20150225,1209
Seattle,United States,-122.3321,47.6062,20150225,1200
Toronto,Canada,-79.3832,43.6532,20150225,1191
Madrid,Spain,-3.7038,40.4168,20150304,1191
Dublin,Ireland,-6.2603,53.3498,20150227,1191
Istanbul,Turkey,28.977,41.0053,20150216,1191
Los Angeles,United States,-118.2437,34.0522,20150224,1191
San Diego,United States,-117.1611,32.7157,20150227,1191
Chicago,United States,-87.6298,41.8781,20150224,1183
Nashville,United States,-86.7816,36.1627,20150227,1174
Washington,United States,-77.0369,38.9072,20150228,1165
Chicago,United States,-87.6298,41.8781,20150304,1165
Perth,Australia,115.857,-31.9535,20150227,1157
Sao Paulo,Brazil,-46.6333,-23.5505,20150226,1157
Montreal,Canada,-73.5673,45.5017,20150223,1157
Belgrade,Serbia,20.4489,44.7866,20150227,1157
Riga,Latvia,24.1052,56.9496,20150218,1148
Hong Kong,Hong Kong,114.1588,22.28,20150224,1139
Belfast,United Kingdom,-5.9301,54.5973,20150218,1131
Huancayo,Peru,-75.2103,-12.0686,20150216,1131
Kyiv,Ukraine,30.5234,50.4501,20150302,1131
Minneapolis,United States,-93.2674,44.9762,20150304,1131
Warsaw,Poland,21.0122,52.2297,20150219,1122
Ann Arbor,United States,-83.743,42.2808,20150227,1122
Montreal,Canada,-73.5673,45.5017,20150226,1114
Berlin,Germany,13.405,52.52,20150302,1114
Belfast,United Kingdom,-5.9301,54.5973,20150216,1105
New Delhi,India,77.2207,28.6322,20150227,1096
Ankara,Turkey,32.8541,39.9208,20150303,1096
Lisbon,Portugal,-9.1393,38.7223,20150227,1088
Moscow,Russia,37.6173,55.7558,20150304,1088
Mexico City,Mexico,-99.1332,19.4326,20150223,1079
Washington,United States,-77.0369,38.9072,20150225,1079
DeBary,United States,-81.3242,28.8814,20150217,1079
Belgrade,Serbia,20.4489,44.7866,20150228,1079
Winnipeg,Canada,-97.1375,49.8998,20150227,1053
Adelaide,Australia,138.6,-34.9286,20150227,1045
Edmonton,Canada,-113.4909,53.5444,20150226,1045
Santiago,Chile,-70.642,-33.4691,20150305,1045
New Delhi,India,77.225,28.6353,20150216,1045
La Victoria,Peru,-77.0163,-12.0734,20150303,1045
Melbourne,Australia,144.9633,-37.8141,20150225,1036
Toronto,Canada,-79.3832,43.6532,20150301,1036
Zapopan,Mexico,-103.4165,20.672,20150227,1036
Moscow,Russia,37.6173,55.7558,20150301,1036
Columbus,United States,-82.9988,39.9612,20150227,1036
Athens,Greece,23.7294,37.9839,20150304,1027
Chicago,United States,-87.6298,41.8781,20150303,1027
Santiago,Chile,-70.642,-33.4691,20150306,1019
Houston,United States,-95.3698,29.7604,20150223,1019
Puebla,Mexico,-98.2062,19.0413,20150227,1010
Denver,United States,-104.9849,39.7384,20150227,1010
Charlotte,United States,-80.8431,35.2271,20150228,1001
Melbourne,Australia,144.9633,-37.8141,20150303,993
Moscow,Russia,37.6173,55.7558,20150225,993
Ankara,Turkey,32.8541,39.9208,20150224,993
Merida,Mexico,-89.5926,20.9674,20150227,984
Coimbra,Portugal,-8.4103,40.2033,20150303,984
Moscow,Russia,37.6173,55.7558,20150302,984
Bratislava,Slovakia,17.1071,48.1459,20150302,984
Kyiv,Ukraine,30.5234,50.4501,20150224,984
Indianapolis,United States,-86.1581,39.7684,20150227,984
Virginia Beach,United States,-75.978,36.8529,20150303,984
Toronto,Canada,-79.3832,43.6532,20150302,967
Mexico City,Mexico,-99.1332,19.4326,20150225,967
Santiago de Surco,Peru,-76.9918,-12.1416,20150216,967
Washington,United States,-77.0369,38.9072,20150224,967
Boston,United States,-71.0601,42.3585,20150223,967
Boston,United States,-71.0601,42.3585,20150226,967
Belgrade,Serbia,20.4489,44.7866,20150301,967
Cape Town,South Africa,18.4241,-33.9249,20150217,967
Sydney,Australia,151.207,-33.8675,20150214,958
Sao Paulo,Brazil,-46.6333,-23.5505,20150228,958
Riga,Latvia,24.1052,56.9496,20150221,958
Riga,Latvia,24.1052,56.9496,20150222,958
Warsaw,Poland,21.0122,52.2297,20150220,958
Sofia,Bulgaria,23.3219,42.6977,20150302,950
Warsaw,Poland,21.0122,52.2297,20150218,950
Pierre,United States,-100.351,44.3683,20150227,950
Ankara,Turkey,32.8541,39.9208,20150223,941
Rio de Janeiro,Brazil,-43.197,-22.9083,20150301,932
Vancouver,Canada,-123.1207,49.2827,20150226,932
Denver,United States,-104.9849,39.7384,20150302,932
Washington,United States,-77.0369,38.9072,20150302,932
Tallinn,Estonia,24.7536,59.437,20150228,924
Santiago de Queretaro,Mexico,-100.3899,20.5888,20150227,924
Belfast,United Kingdom,-5.9301,54.5973,20150304,915
Auckland,New Zealand,174.7633,-36.8485,20150216,915
Chicago,United States,-87.6298,41.8781,20150226,915
Sydney,Australia,151.207,-33.8675,20150223,906
Toronto,Canada,-79.3832,43.6532,20150213,906
Hamburg,Germany,9.9937,53.5511,20150227,906
Kyiv,Ukraine,30.5234,50.4501,20150228,906
Brisbane,Australia,153.0235,-27.471,20150301,898
Brussels,Belgium,4.3517,50.8503,20150218,898
Hong Kong,Hong Kong,114.1588,22.28,20150223,898
Riga,Latvia,24.1052,56.9496,20150219,898
Ankara,Turkey,32.8541,39.9208,20150304,898
Ottawa,Canada,-75.6972,45.4215,20150226,889
Madrid,Spain,-3.7038,40.4168,20150228,889
Belfast,United Kingdom,-5.9301,54.5973,20150217,889
Guadalajara,Mexico,-103.3496,20.6597,20150226,889
Steenwijk,Netherlands,6.1181,52.7869,20150304,889
Warsaw,Poland,21.0122,52.2297,20150222,889
Cambridge,United States,-71.1097,42.3736,20150227,889
Brussels,Belgium,4.3517,50.8503,20150219,881
Madrid,Spain,-3.7038,40.4168,20150225,881
Kyiv,Ukraine,30.5234,50.4501,20150223,881
New York,United States,-74.0059,40.7128,20150305,881
Melbourne,Australia,144.9633,-37.8141,20150302,872
London,United Kingdom,-0.1278,51.5074,20150218,872
Minneapolis,United States,-93.2674,44.9762,20150228,872
Edinburgh,United Kingdom,-3.1883,55.9533,20150224,863
Madrid,Spain,-3.7038,40.4168,20150303,855
Hermosillo,Mexico,-110.9559,29.073,20150227,855
Amsterdam,Netherlands,4.8952,52.3702,20150304,855
Warsaw,Poland,21.0122,52.2297,20150221,846
Santiago,Chile,-70.642,-33.4691,20150307,837
Hong Kong,Hong Kong,114.1588,22.28,20150215,829
Ankara,Turkey,32.8541,39.9208,20150220,829
Los Angeles,United States,-118.2437,34.0522,20150303,829
Honolulu,United States,-157.8583,21.3069,20150227,829
Seattle,United States,-122.3321,47.6062,20150226,829
Paris,France,2.3522,48.8566,20150227,820
Auckland,New Zealand,174.7633,-36.8485,20150227,820
Moscow,Russia,37.6173,55.7558,20150220,820
Chicago,United States,-87.6298,41.8781,20150301,820
Philadelphia,United States,-75.1652,39.9526,20150228,820
Brisbane,Australia,153.0235,-27.471,20150225,811
Sao Paulo,Brazil,-46.6333,-23.5505,20150223,811
Huancayo,Peru,-75.2103,-12.0686,20150302,811
Kyiv,Ukraine,30.5234,50.4501,20150227,811
San Diego,United States,-117.1611,32.7157,20150225,811
London,Canada,-81.2432,42.9869,20150227,803
Berlin,Germany,13.405,52.52,20150305,803
Cologne,Germany,6.9603,50.9375,20150227,803
Santo Domingo,Dominican Republic,-69.95,18.4667,20150214,803
Toluca,Mexico,-99.6557,19.2826,20150227,803
Porto,Portugal,-8.6291,41.1579,20150302,803
Cape Town,South Africa,18.4241,-33.9249,20150218,803
London,United Kingdom,-0.1278,51.5074,20150305,794
Botosani,Romania,26.6694,47.7486,20150217,794
Ankara,Turkey,32.8541,39.9208,20150218,794
Washington,United States,-77.0369,38.9072,20150213,794
Sydney,Australia,151.207,-33.8675,20150304,786
Paris,France,2.3522,48.8566,20150224,786
Belfast,United Kingdom,-5.9301,54.5973,20150214,786
New Delhi,India,77.2207,28.6322,20150228,786
Moscow,Russia,37.6173,55.7558,20150224,786
Los Angeles,United States,-118.2437,34.0522,20150214,786
St. Louis,United States,-90.1994,38.627,20150227,786
Houston,United States,-95.3698,29.7604,20150226,786
Leon,Mexico,-101.686,21.125,20150227,777
Portland,United States,-122.6765,45.5231,20150227,777
Ankara,Turkey,32.8541,39.9208,20150227,768
Izmir,Turkey,27.1287,38.4188,20150219,768
Kyiv,Ukraine,30.5234,50.4501,20150225,768
Philadelphia,United States,-75.1652,39.9526,20150225,768
Sao Paulo,Brazil,-46.6333,-23.5505,20150302,760
Ottawa,Canada,-75.6972,45.4215,20150223,760
Barcelona,Spain,2.1734,41.3851,20150226,760
Tacna,Peru,-70.2463,-18.0066,20150215,760
Ankara,Turkey,32.8541,39.9208,20150221,760
New York,United States,-74.0059,40.7128,20150306,760
Belgrade,Serbia,20.4489,44.7866,20150225,760
Santiago,Chile,-70.642,-33.4691,20150225,751
Tallinn,Estonia,24.7536,59.437,20150227,751
Moscow,Russia,37.6173,55.7558,20150305,751
Izmir,Turkey,27.1287,38.4188,20150228,751
Atlanta,United States,-84.388,33.749,20150228,751
Santiago,Chile,-70.642,-33.4691,20150224,742
Lisbon,Portugal,-9.1393,38.7223,20150223,742
San Francisco,United States,-122.4194,37.7749,20150224,742
Boston,United States,-71.0601,42.3585,20150228,742
Austin,United States,-97.7431,30.2672,20150228,742
Melbourne,Australia,144.9633,-37.8141,20150223,734
Toronto,Canada,-79.3832,43.6532,20150303,734
Barcelona,Spain,2.1734,41.3851,20150227,734
Belfast,United Kingdom,-5.9301,54.5973,20150219,734
Mexicali,Mexico,-115.4523,32.6245,20150227,734
Moscow,Russia,37.6173,55.7558,20150228,734
Moscow,Russia,37.6173,55.7558,20150303,734
San Francisco,United States,-122.4194,37.7749,20150213,734
Cambridge,United States,-71.1097,42.3736,20150224,734
Pierre,United States,-100.351,44.3683,20150303,734
Montreal,Canada,-73.5673,45.5017,20150225,725
Zagreb,Croatia,15.9819,45.815,20150226,725
Dublin,Ireland,-6.2603,53.3498,20150228,725
Mexico City,Mexico,-99.1332,19.4326,20150220,725
Amadora,Portugal,-9.2245,38.7578,20150303,725
Ankara,Turkey,32.8541,39.9208,20150225,725
Los Angeles,United States,-118.2437,34.0522,20150304,725
Baton Rouge,United States,-91.1403,30.4583,20150227,725
Omaha,United States,-95.998,41.2524,20150227,725
London,United Kingdom,-0.1278,51.5074,20150219,716
New Delhi,India,77.2207,28.6322,20150226,716
Miami Beach,United States,-80.1301,25.7907,20150227,716
Philadelphia,United States,-75.1652,39.9526,20150223,716
Seattle,United States,-122.3321,47.6062,20150228,716
Antwerp,Belgium,4.4025,51.2194,20150304,708
Berlin,Germany,13.405,52.52,20150228,708
Arequipa,Peru,-71.5375,-16.409,20150216,708
Singapore,Singapore,103.851,1.2801,20150226,708
Chicago,United States,-87.6298,41.8781,20150213,708
Dallas,United States,-96.801,32.7803,20150302,708
Seattle,United States,-122.3321,47.6062,20150223,708
Brisbane,Australia,153.0235,-27.471,20150303,699
Montreal,Canada,-73.5673,45.5017,20150228,699
Saskatoon,Canada,-106.6701,52.1332,20150227,699
Madrid,Spain,-3.7038,40.4168,20150224,699
Mexico City,Mexico,-99.1332,19.4326,20150303,699
Singapore,Singapore,103.851,1.2801,20150228,699
Belgrade,Serbia,20.4489,44.7866,20150223,699
Perth,Australia,115.857,-31.9535,20150228,691
Tallinn,Estonia,24.7536,59.437,20150220,691
Riga,Latvia,24.1052,56.9496,20150220,691
Huancayo,Peru,-75.2103,-12.0686,20150226,691
San Diego,United States,-117.1611,32.7157,20150228,691
Charlotte,United States,-80.8431,35.2271,20150301,691
Dallas,United States,-96.801,32.7803,20150228,691
Fort Worth,United States,-97.3308,32.7555,20150227,691
Brisbane,Australia,153.0235,-27.471,20150224,682
Montreal,Canada,-73.554,45.5087,20150216,682
Bogota,Colombia,-74.0758,4.5981,20150223,682
Madrid,Spain,-3.7038,40.4168,20150302,682
Rio de Janeiro,Brazil,-43.197,-22.9083,20150302,673
Calgary,Canada,-114.0708,51.0486,20150228,673
Bogota,Colombia,-74.0758,4.5981,20150227,673
London,United Kingdom,-0.1278,51.5074,20150217,673
Riga,Latvia,24.1052,56.9496,20150215,673
Amsterdam,Netherlands,4.8952,52.3702,20150227,673
Auckland,New Zealand,174.7633,-36.8485,20150217,673
Warsaw,Poland,21.0122,52.2297,20150304,673
Moscow,Russia,37.6173,55.7558,20150223,673
Singapore,Singapore,103.851,1.2801,20150227,673
Los Angeles,United States,-118.2437,34.0522,20150301,673
San Diego,United States,-117.1611,32.7157,20150223,673
Montreal,Canada,-73.5673,45.5017,20150224,665
Berlin,Germany,13.405,52.52,20150226,665
Madrid,Spain,-3.7038,40.4168,20150223,665
San Luis Potosi,Mexico,-100.9855,22.1565,20150227,665
Botosani,Romania,26.6694,47.7486,20150213,665
Singapore,Singapore,103.851,1.2801,20150220,665
Kyiv,Ukraine,30.5234,50.4501,20150221,665
Kyiv,Ukraine,30.5234,50.4501,20150301,665
Washington,United States,-77.0369,38.9072,20150303,665
New York,United States,-74.0059,40.7128,20150216,665
Houston,United States,-95.3698,29.7604,20150302,665
San Antonio,United States,-98.4936,29.4241,20150227,665
Perth,Australia,115.857,-31.9535,20150226,656
Sao Paulo,Brazil,-46.6333,-23.5505,20150225,656
Calgary,Canada,-114.0708,51.0486,20150223,656
Cuernavaca,Mexico,-99.2216,18.9242,20150227,656
Kyiv,Ukraine,30.5234,50.4501,20150216,656
Pittsburgh,United States,-79.9959,40.4406,20150227,656
Vancouver,Canada,-123.1207,49.2827,20150228,647
Frankfurt,Germany,8.6821,50.1109,20150227,647
Amsterdam,Netherlands,4.8952,52.3702,20150224,647
Krakow,Poland,19.945,50.0647,20150226,647
Singapore,Singapore,103.851,1.2801,20150217,647
Belo Horizonte,Brazil,-43.9352,-19.9245,20150304,639
Winnipeg,Canada,-97.1375,49.8998,20150226,639
Mississauga,Canada,-79.6441,43.589,20150227,639
Zagreb,Croatia,15.9819,45.815,20150224,639
Guadalajara,Mexico,-103.3496,20.6597,20150228,639
Botosani,Romania,26.6694,47.7486,20150216,639
Ankara,Turkey,32.8541,39.9208,20150226,639
Washington,United States,-77.0369,38.9072,20150226,639
Indianapolis,United States,-86.1581,39.7684,20150226,639
New Orleans,United States,-90.0715,29.9511,20150227,639
Minneapolis,United States,-93.2674,44.9762,20150223,639
Kansas City,United States,-94.5786,39.0997,20150227,639
New York,United States,-74.0059,40.7128,20150220,639
Nashville,United States,-86.7816,36.1627,20150228,639
Curitiba,Brazil,-49.2654,-25.4244,20150227,630
Sao Paulo,Brazil,-46.6333,-23.5505,20150301,630
Madrid,Spain,-3.7038,40.4168,20150301,630
London,United Kingdom,-0.1278,51.5074,20150213,630
Botosani,Romania,26.6694,47.7486,20150218,630
Ankara,Turkey,32.8541,39.9208,20150215,630
Kyiv,Ukraine,30.5234,50.4501,20150226,630
Los Angeles,United States,-118.2437,34.0522,20150213,630
Ridgefield,United States,-74.0088,40.8343,20150227,630
New York,United States,-74.0059,40.7128,20150309,630
Houston,United States,-95.3698,29.7604,20150225,630
